reaction,species,species_type,compartment,mass,role,stoich
R_3OAS181,G_R_3OAS181_protein_M_3ocvac11eACP_h,G_R_3OAS181_protein_M_3ocvac11eACP_h,h,312.51148,product,1
R_3OAS181,G_R_3OAS181_protein_M_ACP_h,G_R_3OAS181_protein_M_ACP_h,h,33.07394,product,1
R_3OAS181,G_R_3OAS181_protein_M_hdeACP_h,G_R_3OAS181_protein_M_hdeACP_h,h,269.46686,substrate,1
R_3OAS181,G_R_3OAS181_protein_M_malACP_h,G_R_3OAS181_protein_M_malACP_h,h,119.12012,substrate,1
R_3OAS60,G_R_3OAS60_protein_M_3ohexACP_h,G_R_3OAS60_protein_M_3ohexACP_h,h,145.20046,product,1
R_3OAS60,G_R_3OAS60_protein_M_ACP_h,G_R_3OAS60_protein_M_ACP_h,h,33.07394,product,1
R_3OAS60,G_R_3OAS60_protein_M_butACP_h,G_R_3OAS60_protein_M_butACP_h,h,103.16378,substrate,1
R_3OAS60,G_R_3OAS60_protein_M_malACP_h,G_R_3OAS60_protein_M_malACP_h,h,119.12012,substrate,1
R_3OAS80,G_R_3OAS80_protein_M_3ooctACP_h,G_R_3OAS80_protein_M_3ooctACP_h,h,173.25362,product,1
R_3OAS80,G_R_3OAS80_protein_M_ACP_h,G_R_3OAS80_protein_M_ACP_h,h,33.07394,product,1
R_3OAS80,G_R_3OAS80_protein_M_hexACP_h,G_R_3OAS80_protein_M_hexACP_h,h,131.21694,substrate,1
R_3OAS80,G_R_3OAS80_protein_M_malACP_h,G_R_3OAS80_protein_M_malACP_h,h,119.12012,substrate,1
R_AACP1819ZS,G_R_AACP1819ZS_protein_M_ACP_h,G_R_AACP1819ZS_protein_M_ACP_h,h,33.07394,substrate,1
R_AACP1819ZS,G_R_AACP1819ZS_protein_M_octe9ACP_h,G_R_AACP1819ZS_protein_M_octe9ACP_h,h,297.52002,product,1
R_AACPS1,G_R_AACPS1_protein_M_ACP_h,G_R_AACPS1_protein_M_ACP_h,h,33.07394,substrate,1
R_AACPS1,G_R_AACPS1_protein_M_myrsACP_h,G_R_AACPS1_protein_M_myrsACP_h,h,243.42958,product,1
R_AACPS3,G_R_AACPS3_protein_M_ACP_h,G_R_AACPS3_protein_M_ACP_h,h,33.07394,substrate,1
R_AACPS3,G_R_AACPS3_protein_M_palmACP_h,G_R_AACPS3_protein_M_palmACP_h,h,271.48274,product,1
R_AACPS4,G_R_AACPS4_protein_M_ACP_h,G_R_AACPS4_protein_M_ACP_h,h,33.07394,substrate,1
R_AACPS4,G_R_AACPS4_protein_M_hdeACP_h,G_R_AACPS4_protein_M_hdeACP_h,h,269.46686,product,1
R_AACPS5,G_R_AACPS5_protein_M_ACP_h,G_R_AACPS5_protein_M_ACP_h,h,33.07394,substrate,1
R_AACPS5,G_R_AACPS5_protein_M_octeACP_h,G_R_AACPS5_protein_M_octeACP_h,h,297.52002,product,1
R_AACPS6,G_R_AACPS6_generic_M_ocdcaACP_h,G_R_AACPS6_generic_M_ocdcaACP_h,h,299.5359,product,1
R_AACPS6,G_R_AACPS6_protein_M_ACP_h,G_R_AACPS6_protein_M_ACP_h,h,33.07394,substrate,1
R_ACCOAC,G_R_ACCOAC_generic_M_btnCCP_h,G_R_ACCOAC_generic_M_btnCCP_h,h,397.49358,product,1
R_ACCOAC,G_R_ACCOAC_protein_M_cbtnCCP_h,G_R_ACCOAC_protein_M_cbtnCCP_h,h,440.49514,substrate,1
R_ACOATA,G_R_ACOATA_generic_M_acACP_h,G_R_ACOATA_generic_M_acACP_h,h,75.11062,product,1
R_ACOATA,G_R_ACOATA_protein_M_ACP_h,G_R_ACOATA_protein_M_ACP_h,h,33.07394,substrate,1
R_ACP1619ZD9DS,G_R_ACP1619ZD9DS_protein_M_fdxox_h,G_R_ACP1619ZD9DS_protein_M_fdxox_h,h,703.248,substrate,1
R_ACP1619ZD9DS,G_R_ACP1619ZD9DS_protein_M_fdxrd_h,G_R_ACP1619ZD9DS_protein_M_fdxrd_h,h,705.26388,product,1
R_ACP1619ZD9DS,G_R_ACP1619ZD9DS_protein_M_hdeACP_h,G_R_ACP1619ZD9DS_protein_M_hdeACP_h,h,269.46686,product,1
R_ACP1619ZD9DS,G_R_ACP1619ZD9DS_protein_M_palmACP_h,G_R_ACP1619ZD9DS_protein_M_palmACP_h,h,271.48274,substrate,1
R_ACP1819ZD9DS,G_R_ACP1819ZD9DS_generic_M_ocdcaACP_h,G_R_ACP1819ZD9DS_generic_M_ocdcaACP_h,h,299.5359,substrate,1
R_ACP1819ZD9DS,G_R_ACP1819ZD9DS_protein_M_fdxox_h,G_R_ACP1819ZD9DS_protein_M_fdxox_h,h,703.248,substrate,1
R_ACP1819ZD9DS,G_R_ACP1819ZD9DS_protein_M_fdxrd_h,G_R_ACP1819ZD9DS_protein_M_fdxrd_h,h,705.26388,product,1
R_ACP1819ZD9DS,G_R_ACP1819ZD9DS_protein_M_octe9ACP_h,G_R_ACP1819ZD9DS_protein_M_octe9ACP_h,h,297.52002,product,1
R_ACPS1h,G_R_ACPS1h_protein_M_ACP_h,G_R_ACPS1h_protein_M_ACP_h,h,33.07394,product,1
R_ACPS1h,G_R_ACPS1h_protein_M_apoACP_h,G_R_ACPS1h_protein_M_apoACP_h,h,33.07394,substrate,1
R_ACPS1,G_R_ACPS1_protein_M_ACP_c,G_R_ACPS1_protein_M_ACP_c,c,33.07394,product,1
R_ACPS1,G_R_ACPS1_protein_M_apoACP_c,G_R_ACPS1_protein_M_apoACP_c,c,33.07394,substrate,1
R_AGPAT1601819Zh,G_R_AGPAT1601819Zh_protein_M_ACP_h,G_R_AGPAT1601819Zh_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT1601819Zh,G_R_AGPAT1601819Zh_protein_M_octe9ACP_h,G_R_AGPAT1601819Zh_protein_M_octe9ACP_h,h,297.52002,substrate,1
R_AGPAT160h,G_R_AGPAT160h_protein_M_ACP_h,G_R_AGPAT160h_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT160h,G_R_AGPAT160h_protein_M_palmACP_h,G_R_AGPAT160h_protein_M_palmACP_h,h,271.48274,substrate,1
R_AGPAT1801819Zh,G_R_AGPAT1801819Zh_protein_M_ACP_h,G_R_AGPAT1801819Zh_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT1801819Zh,G_R_AGPAT1801819Zh_protein_M_octe9ACP_h,G_R_AGPAT1801819Zh_protein_M_octe9ACP_h,h,297.52002,substrate,1
R_AGPAT18111Z160h,G_R_AGPAT18111Z160h_protein_M_ACP_h,G_R_AGPAT18111Z160h_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT18111Z160h,G_R_AGPAT18111Z160h_protein_M_palmACP_h,G_R_AGPAT18111Z160h_protein_M_palmACP_h,h,271.48274,substrate,1
R_AGPAT18111Z1819Zh,G_R_AGPAT18111Z1819Zh_protein_M_ACP_h,G_R_AGPAT18111Z1819Zh_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT18111Z1819Zh,G_R_AGPAT18111Z1819Zh_protein_M_octe9ACP_h,G_R_AGPAT18111Z1819Zh_protein_M_octe9ACP_h,h,297.52002,substrate,1
R_AGPAT1819Z160h,G_R_AGPAT1819Z160h_protein_M_ACP_h,G_R_AGPAT1819Z160h_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT1819Z160h,G_R_AGPAT1819Z160h_protein_M_palmACP_h,G_R_AGPAT1819Z160h_protein_M_palmACP_h,h,271.48274,substrate,1
R_AGPAT1819Z1619Zh,G_R_AGPAT1819Z1619Zh_protein_M_ACP_h,G_R_AGPAT1819Z1619Zh_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT1819Z1619Zh,G_R_AGPAT1819Z1619Zh_protein_M_hdeACP_h,G_R_AGPAT1819Z1619Zh_protein_M_hdeACP_h,h,269.46686,substrate,1
R_AGPAT1819Z18111Zh,G_R_AGPAT1819Z18111Zh_protein_M_ACP_h,G_R_AGPAT1819Z18111Zh_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT1819Z18111Zh,G_R_AGPAT1819Z18111Zh_protein_M_octeACP_h,G_R_AGPAT1819Z18111Zh_protein_M_octeACP_h,h,297.52002,substrate,1
R_AGPAT1819Z1819Zh,G_R_AGPAT1819Z1819Zh_protein_M_ACP_h,G_R_AGPAT1819Z1819Zh_protein_M_ACP_h,h,33.07394,product,1
R_AGPAT1819Z1819Zh,G_R_AGPAT1819Z1819Zh_protein_M_octe9ACP_h,G_R_AGPAT1819Z1819Zh_protein_M_octe9ACP_h,h,297.52002,substrate,1
R_AHAL,G_R_AHAL_protein_M_trdox_h,G_R_AHAL_protein_M_trdox_h,h,189.25732,product,1
R_AHAL,G_R_AHAL_protein_M_trdrd_h,G_R_AHAL_protein_M_trdrd_h,h,191.2732,substrate,1
R_ALATL,G_R_ALATL_generic_M_trnaala_m,G_R_ALATL_generic_M_trnaala_m,m,328.209741,substrate,1
R_ALATL,G_R_ALATL_trna_M_alatrna_m,G_R_ALATL_trna_M_alatrna_m,m,401.303561,product,1
R_ANXANASCOR,G_R_ANXANASCOR_cofactor_M_h2o_u,G_R_ANXANASCOR_cofactor_M_h2o_u,u,18.01528,product,1
R_ANXANOR,G_R_ANXANOR_cofactor_M_h2o_u,G_R_ANXANOR_cofactor_M_h2o_u,u,18.01528,product,1
R_ANXANOR,G_R_ANXANOR_cofactor_M_h_u,G_R_ANXANOR_cofactor_M_h_u,u,1.00794,substrate,1
R_ANXANOR,G_R_ANXANOR_cofactor_M_nadph_u,G_R_ANXANOR_cofactor_M_nadph_u,u,741.389403,substrate,1
R_ANXANOR,G_R_ANXANOR_cofactor_M_o2_u,G_R_ANXANOR_cofactor_M_o2_u,u,31.9988,substrate,1
R_APOFETNs,G_R_APOFETNs_protein_M_apofetn_h,G_R_APOFETNs_protein_M_apofetn_h,h,55.84,substrate,1
R_ARGT,G_R_ARGT_generic_M_trnaarg_c,G_R_ARGT_generic_M_trnaarg_c,c,462.328701,substrate,1
R_ARGT,G_R_ARGT_trna_M_argtrna_c,G_R_ARGT_trna_M_argtrna_c,c,620.530421,product,1
R_ASCBOR,G_R_ASCBOR_cofactor_M_h2o_u,G_R_ASCBOR_cofactor_M_h2o_u,u,18.01528,product,2
R_ASCBOR,G_R_ASCBOR_cofactor_M_o2_u,G_R_ASCBOR_cofactor_M_o2_u,u,31.9988,substrate,1
R_ASNTL,G_R_ASNTL_generic_M_trnaasn_m,G_R_ASNTL_generic_M_trnaasn_m,m,328.209741,substrate,1
R_ASNTL,G_R_ASNTL_trna_M_asntrna_m,G_R_ASNTL_trna_M_asntrna_m,m,443.320401,product,1
R_ASPTL,G_R_ASPTL_generic_M_trnaasp_m,G_R_ASPTL_generic_M_trnaasp_m,m,328.209741,substrate,1
R_ASPTL,G_R_ASPTL_trna_M_asptrna_m,G_R_ASPTL_trna_M_asptrna_m,m,444.305121,product,1
R_ATPSh,G_R_ATPSh_cofactor_M_h2o_u,G_R_ATPSh_cofactor_M_h2o_u,u,18.01528,product,1
R_ATPSh,G_R_ATPSh_cofactor_M_h_u,G_R_ATPSh_cofactor_M_h_u,u,1.00794,substrate,4
R_BATHORHODOPSINI,G_R_BATHORHODOPSINI_protein_M_bathorhodopsin_s,G_R_BATHORHODOPSINI_protein_M_bathorhodopsin_s,s,268.43632,substrate,1
R_BATHORHODOPSINI,G_R_BATHORHODOPSINI_protein_M_lumirhodopsin_s,G_R_BATHORHODOPSINI_protein_M_lumirhodopsin_s,s,268.43632,product,1
R_BCAROH,G_R_BCAROH_cofactor_M_h2o_u,G_R_BCAROH_cofactor_M_h2o_u,u,18.01528,product,1
R_BCAROH,G_R_BCAROH_cofactor_M_h_u,G_R_BCAROH_cofactor_M_h_u,u,1.00794,substrate,1
R_BCAROH,G_R_BCAROH_cofactor_M_nadph_u,G_R_BCAROH_cofactor_M_nadph_u,u,741.389403,substrate,1
R_BCAROH,G_R_BCAROH_cofactor_M_o2_u,G_R_BCAROH_cofactor_M_o2_u,u,31.9988,substrate,1
R_BCAROKT,G_R_BCAROKT_cofactor_M_h2o_u,G_R_BCAROKT_cofactor_M_h2o_u,u,18.01528,product,1
R_BCAROKT,G_R_BCAROKT_cofactor_M_h_u,G_R_BCAROKT_cofactor_M_h_u,u,1.00794,product,2
R_BCAROKT,G_R_BCAROKT_cofactor_M_o2_u,G_R_BCAROKT_cofactor_M_o2_u,u,31.9988,substrate,1
R_BCAROKT,G_R_BCAROKT_protein_M_fdxox_u,G_R_BCAROKT_protein_M_fdxox_u,u,703.248,product,1
R_BCAROKT,G_R_BCAROKT_protein_M_fdxrd_u,G_R_BCAROKT_protein_M_fdxrd_u,u,705.26388,substrate,1
R_BCRPTXANH,G_R_BCRPTXANH_cofactor_M_h2o_u,G_R_BCRPTXANH_cofactor_M_h2o_u,u,18.01528,product,1
R_BCRPTXANH,G_R_BCRPTXANH_cofactor_M_h_u,G_R_BCRPTXANH_cofactor_M_h_u,u,1.00794,substrate,1
R_BCRPTXANH,G_R_BCRPTXANH_cofactor_M_nadph_u,G_R_BCRPTXANH_cofactor_M_nadph_u,u,741.389403,substrate,1
R_BCRPTXANH,G_R_BCRPTXANH_cofactor_M_o2_u,G_R_BCRPTXANH_cofactor_M_o2_u,u,31.9988,substrate,1
R_Biomass_Chlamy_auto,G_R_Biomass_Chlamy_auto,G_R_Biomass_Chlamy_auto,o,1052.168474,product,1
R_Biomass_Chlamy_auto,G_R_Biomass_Chlamy_auto_protein_M_rhodopsin_s,G_R_Biomass_Chlamy_auto_protein_M_rhodopsin_s,s,268.43632,substrate,1.04E-06
R_Biomass_Chlamy_hetero,G_R_Biomass_Chlamy_hetero,G_R_Biomass_Chlamy_hetero,o,739.4559282,product,1
R_Biomass_Chlamy_hetero,G_R_Biomass_Chlamy_hetero_protein_M_rhodopsin_s,G_R_Biomass_Chlamy_hetero_protein_M_rhodopsin_s,s,268.43632,substrate,1.04E-06
R_Biomass_Chlamy_mixo,G_R_Biomass_Chlamy_mixo,G_R_Biomass_Chlamy_mixo,o,1045.283471,product,1
R_Biomass_Chlamy_mixo,G_R_Biomass_Chlamy_mixo_protein_M_rhodopsin_s,G_R_Biomass_Chlamy_mixo_protein_M_rhodopsin_s,s,268.43632,substrate,1.04E-06
R_BTNC,G_R_BTNC_generic_M_btnCCP_h,G_R_BTNC_generic_M_btnCCP_h,h,397.49358,substrate,1
R_BTNC,G_R_BTNC_protein_M_cbtnCCP_h,G_R_BTNC_protein_M_cbtnCCP_h,h,440.49514,product,1
R_CADS,G_R_CADS_protein_M_fdxox_c,G_R_CADS_protein_M_fdxox_c,c,703.248,product,1
R_CADS,G_R_CADS_protein_M_fdxrd_c,G_R_CADS_protein_M_fdxrd_c,c,705.26388,substrate,1
R_CBFC,G_R_CBFC_cofactor_M_h_u,G_R_CBFC_cofactor_M_h_u,u,1.00794,product,4
R_CBFC,G_R_CBFC_protein_M_pccu1p_u,G_R_CBFC_protein_M_pccu1p_u,u,0,product,2
R_CBFC,G_R_CBFC_protein_M_pccu2p_u,G_R_CBFC_protein_M_pccu2p_u,u,0,substrate,2
R_CBFC,G_R_CBFC_protein_M_pqh2_u,G_R_CBFC_protein_M_pqh2_u,u,206.28082,substrate,1
R_CBFC,G_R_CBFC_protein_M_pq_u,G_R_CBFC_protein_M_pq_u,u,204.26494,product,1
R_CCP2m,G_R_CCP2m_protein_M_focytc_m,G_R_CCP2m_protein_M_focytc_m,m,908.81988,substrate,2
R_CEF,G_R_CEF,G_R_CEF,u,412.56164,substrate,1
R_CEF,G_R_CEF_cofactor_M_h_u,G_R_CEF_cofactor_M_h_u,u,1.00794,product,4
R_CEF,G_R_CEF_protein_M_fdxox_u,G_R_CEF_protein_M_fdxox_u,u,703.248,product,1
R_CEF,G_R_CEF_protein_M_fdxrd_u,G_R_CEF_protein_M_fdxrd_u,u,705.26388,substrate,1
R_CEF,G_R_CEF_protein_M_pccu2p_u,G_R_CEF_protein_M_pccu2p_u,u,0,substrate,2
R_CEF,G_R_CEF_protein_M_pqh2_u,G_R_CEF_protein_M_pqh2_u,u,206.28082,product,2
R_CHLADMT,G_R_CHLADMT_cofactor_M_h_u,G_R_CHLADMT_cofactor_M_h_u,u,1.00794,substrate,1
R_CHLASG,G_R_CHLASG_cofactor_M_h_u,G_R_CHLASG_cofactor_M_h_u,u,1.00794,product,1
R_CHLASG,G_R_CHLASG_cofactor_M_ppi_u,G_R_CHLASG_cofactor_M_ppi_u,u,173.943322,product,1
R_CHLASP,G_R_CHLASP_cofactor_M_h_u,G_R_CHLASP_cofactor_M_h_u,u,1.00794,product,1
R_CHLASP,G_R_CHLASP_cofactor_M_ppi_u,G_R_CHLASP_cofactor_M_ppi_u,u,173.943322,product,1
R_CHLBSG,G_R_CHLBSG_cofactor_M_h_u,G_R_CHLBSG_cofactor_M_h_u,u,1.00794,product,1
R_CHLBSG,G_R_CHLBSG_cofactor_M_ppi_u,G_R_CHLBSG_cofactor_M_ppi_u,u,173.943322,product,1
R_CHLBSP,G_R_CHLBSP_cofactor_M_h_u,G_R_CHLBSP_cofactor_M_h_u,u,1.00794,product,1
R_CHLBSP,G_R_CHLBSP_cofactor_M_ppi_u,G_R_CHLBSP_cofactor_M_ppi_u,u,173.943322,product,1
R_CHYA1,G_R_CHYA1_cofactor_M_h2o_u,G_R_CHYA1_cofactor_M_h2o_u,u,18.01528,product,1
R_CHYA1,G_R_CHYA1_cofactor_M_h_u,G_R_CHYA1_cofactor_M_h_u,u,1.00794,substrate,1
R_CHYA1,G_R_CHYA1_cofactor_M_nadph_u,G_R_CHYA1_cofactor_M_nadph_u,u,741.389403,substrate,1
R_CHYA1,G_R_CHYA1_cofactor_M_o2_u,G_R_CHYA1_cofactor_M_o2_u,u,31.9988,substrate,1
R_CHYA2,G_R_CHYA2_cofactor_M_h2o_u,G_R_CHYA2_cofactor_M_h2o_u,u,18.01528,product,1
R_CHYA2,G_R_CHYA2_cofactor_M_h_u,G_R_CHYA2_cofactor_M_h_u,u,1.00794,substrate,1
R_CHYA2,G_R_CHYA2_cofactor_M_nadph_u,G_R_CHYA2_cofactor_M_nadph_u,u,741.389403,substrate,1
R_CHYA2,G_R_CHYA2_cofactor_M_o2_u,G_R_CHYA2_cofactor_M_o2_u,u,31.9988,substrate,1
R_COA1819ZD9DS,G_R_COA1819ZD9DS_protein_M_ficytb5_c,G_R_COA1819ZD9DS_protein_M_ficytb5_c,c,0,product,2
R_COA1819ZD9DS,G_R_COA1819ZD9DS_protein_M_focytb5_c,G_R_COA1819ZD9DS_protein_M_focytb5_c,c,0,substrate,2
R_CXHY,G_R_CXHY_cofactor_M_h2o_u,G_R_CXHY_cofactor_M_h2o_u,u,18.01528,product,1
R_CXHY,G_R_CXHY_cofactor_M_h_u,G_R_CXHY_cofactor_M_h_u,u,1.00794,substrate,1
R_CXHY,G_R_CXHY_cofactor_M_nadph_u,G_R_CXHY_cofactor_M_nadph_u,u,741.389403,substrate,1
R_CXHY,G_R_CXHY_cofactor_M_o2_u,G_R_CXHY_cofactor_M_o2_u,u,31.9988,substrate,1
R_CYOO6m,G_R_CYOO6m_protein_M_focytc_m,G_R_CYOO6m_protein_M_focytc_m,m,908.81988,substrate,4
R_CYOR_LPAREN_q8_RPAREN_m,G_R_CYOR_LPAREN_q8_RPAREN_m_protein_M_focytc_m,G_R_CYOR_LPAREN_q8_RPAREN_m_protein_M_focytc_m,m,908.81988,product,2
R_CYSS_LPAREN_trdrd_RPAREN_,G_R_CYSS_LPAREN_trdrd_RPAREN__protein_M_trdox_h,G_R_CYSS_LPAREN_trdrd_RPAREN__protein_M_trdox_h,h,189.25732,product,1
R_CYSS_LPAREN_trdrd_RPAREN_,G_R_CYSS_LPAREN_trdrd_RPAREN__protein_M_trdrd_h,G_R_CYSS_LPAREN_trdrd_RPAREN__protein_M_trdrd_h,h,191.2732,substrate,1
R_CYSTL,G_R_CYSTL_generic_M_trnacys_c,G_R_CYSTL_generic_M_trnacys_c,c,462.328701,substrate,1
R_CYSTL,G_R_CYSTL_trna_M_cystrna_c,G_R_CYSTL_trna_M_cystrna_c,c,566.480581,product,1
